Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,Selection_Markers,Mod_Method,Mod_Direction
10003513.pdf,10.3390/ijms24054712,Zea mays,Agrobacterium-mediated overexpression using ZmUbiquitin1 promoter,Improved drought resistance,Survival rate: 80%; Relative water content: 60%; Fresh weight: Increased; Dry weight: Increased,ZmUbiquitin1,"Drought Tolerance, Plant Transformation",ZmNAC20,,Agrobacterium,Overexpression
10014530.pdf,10.3389/fpls.2023.1137598,Solanum tuberosum,Genetic modification,Late blight resistance,Average 5.6 fungicide sprays per year pre-2006; 8-9 sprays per year recently; up to 16 sprays in severe cases | Increased resistance through silencing | Increased resistance; Decreased fungicide use,,"Disease Resistance, Above-Ground Biomass Yield, Chemicals",R genes,,Unknown,Modification
10014530.pdf,10.3389/fpls.2023.1137598,Solanum tuberosum,Genetic modification,Late blight resistance,Average 5.6 fungicide sprays per year pre-2006; 8-9 sprays per year recently; up to 16 sprays in severe cases | Increased resistance through silencing | Increased resistance; Decreased fungicide use,,"Disease Resistance, Gene Expression",R genes,,Unknown,Modification
10015339.pdf,10.1093/hr/uhac286,Solanum lycopersicum,RNA interference (RNAi) and Agrobacterium-mediated overexpression,Decreased seed count; Abnormal pollen development,"Seed count: WT 100%, RNAi 50%; Pollen viability: WT 90%, RNAi 40% | Autophagy activity: WT 100%, RNAi 30%; Tapetum degradation: WT complete, RNAi delayed | Pollen viability: WT 90%, OE 50%; Tapetum degradation: WT 100%, OE 150% | Seed count: 10-12 seeds per fruit; Pollen viability: 40-50% | Pollen viability: 40-50% | Pollen viability: 50-60%",SlMYB72 promoter | SlATG7 promoter | 35S promoter,"Gene Expression, Pollen Development",SlMYB72,,Agrobacterium,Overexpression
10015339.pdf,10.1093/hr/uhac286,Solanum lycopersicum,RNA interference (RNAi) and Agrobacterium-mediated overexpression,Decreased seed count; Abnormal pollen development,"Seed count: WT 100%, RNAi 50%; Pollen viability: WT 90%, RNAi 40% | Autophagy activity: WT 100%, RNAi 30%; Tapetum degradation: WT complete, RNAi delayed | Pollen viability: WT 90%, OE 50%; Tapetum degradation: WT 100%, OE 150% | Seed count: 10-12 seeds per fruit; Pollen viability: 40-50% | Pollen viability: 40-50% | Pollen viability: 50-60%",SlMYB72 promoter | SlATG7 promoter | 35S promoter,"Autophagy, Tapetum Degradation",SlMYB72,,Agrobacterium,Overexpression
10016323.pdf,10.1093/pcp/pcad002,Arabidopsis thaliana,CRISPR/Cas9 knockout,"Extended G1 phase in meristemoids, failure to differentiate into guard cells",Cell cycle length increased by 50%; Proliferation rate increased by 20%,MUTE promoter,"Disease Resistance, Photosynthesis, Leaf Property",MUTE,,CRISPR/Cas9,Knockdown/Out
10022505.pdf,10.7717/peerj.15066,Sorghum bicolor,Particle bombardment,"Transgene expression, inheritance",Transformation efficiency: 27%; Transgene co-transformation rate: 87.5%,Maize ubiquitin1 (ubi1) promoter,"Plant Transformation, Genetic Modification","NPTII, DsRed",,Biolistics,Modification
10024969.pdf,10.1002/pld3.486,Arabidopsis thaliana,"RNAi silencing, CRISPR/Cas9 knockout","Increased glucosinolate biosynthesis, enhanced shoot branching","Fold change in gene expression: MAX3 (1.5x), MAX4 (2.0x), D27 (1.8x), LBO (1.2x); Increased glucosinolate content (30%)",,"Disease Resistance, Biosensing","MAX3, MAX4, D27, LBO",,CRISPR/Cas9,Knockdown/Out
10037803.pdf,10.1186/s13059-023-02891-3,Zea mays,cis-regulatory element mutation,"expression level, splicing variation",increased expression level; increased splicing variation,,"Gene Expression, Fruit Property, Flowering",cys2,,Unknown,Mutation
10057709.pdf,10.3390/ijms24065766,Populus deltoides × p. euramericana,CRISPR/Cas9 knockout,Decreased adventitious root formation,Number of ARs decreased by 1-fold | Expression levels decreased significantly | Average number of ARs decreased by 1-fold,,"Root Property, Above-Ground Biomass Yield",lncWOX11a,,CRISPR/Cas9,Knockdown/Out
