Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,,Mod_Method,Mod_Direction
10003513.pdf,10.3390/ijms24054712,zea mays,agrobacterium-mediated overexpression using zmubiquitin1 promoter,improved drought resistance,survival rate: 80%; relative water content: 60%; fresh weight: increased; dry weight: increased,zmubiquitin1,"drought tolerance, plant transformation",zmnac20,,agrobacterium,overexpression
10014530.pdf,10.3389/fpls.2023.1137598,solanum tuberosum,genetic modification,late blight resistance,average 5.6 fungicide sprays per year pre-2006; 8-9 sprays per year recently; up to 16 sprays in severe cases | increased resistance through silencing | increased resistance; decreased fungicide use,,"disease resistance, above-ground biomass yield, chemicals",r genes,,unknown,modification
10015339.pdf,10.1093/hr/uhac286,solanum lycopersicum,rna interference (rnai) and agrobacterium-mediated overexpression,decreased seed count; abnormal pollen development,"seed count: wt 100%, rnai 50%; pollen viability: wt 90%, rnai 40% | autophagy activity: wt 100%, rnai 30%; tapetum degradation: wt complete, rnai delayed | pollen viability: wt 90%, oe 50%; tapetum degradation: wt 100%, oe 150% | seed count: 10-12 seeds per fruit; pollen viability: 40-50% | pollen viability: 40-50% | pollen viability: 50-60%",slmyb72 promoter | slatg7 promoter | 35s promoter,"gene expression, pollen development",slmyb72,,agrobacterium,overexpression
10016323.pdf,10.1093/pcp/pcad002,arabidopsis thaliana,crispr/cas9 knockout,"extended g1 phase in meristemoids, failure to differentiate into guard cells",cell cycle length increased by 50%; proliferation rate increased by 20%,mute promoter,"disease resistance, photosynthesis, leaf property",mute,,crispr/cas9,knockdown/out
10022505.pdf,10.7717/peerj.15066,sorghum bicolor,particle bombardment,"transgene expression, inheritance",transformation efficiency: 27%; transgene co-transformation rate: 87.5%,maize ubiquitin1 (ubi1) promoter,"plant transformation, genetic modification","nptii, dsred",,biolistics,modification
10024969.pdf,10.1002/pld3.486,arabidopsis thaliana,"rnai silencing, crispr/cas9 knockout","increased glucosinolate biosynthesis, enhanced shoot branching","fold change in gene expression: max3 (1.5x), max4 (2.0x), d27 (1.8x), lbo (1.2x); increased glucosinolate content (30%)",,"disease resistance, biosensing","max3, max4, d27, lbo",,crispr/cas9,knockdown/out
10037803.pdf,10.1186/s13059-023-02891-3,zea mays,cis-regulatory element mutation,"expression level, splicing variation",increased expression level; increased splicing variation,,"gene expression, fruit property, flowering",cys2,,unknown,mutation
10057709.pdf,10.3390/ijms24065766,populus deltoides × p. euramericana,crispr/cas9 knockout,decreased adventitious root formation,number of ars decreased by 1-fold | expression levels decreased significantly | average number of ars decreased by 1-fold,,"root property, above-ground biomass yield",lncwox11a,,crispr/cas9,knockdown/out
10058240.pdf,10.1126/sciadv.ade9756,gynandropsis gynandra,evolutionary cis-regulatory modifications,enhanced expression of c4 pathway genes during de-etiolation,stronger induction of c4 genes compared to c3 orthologs; increased chromatin accessibility,contains enriched lres such as g-box and i-box motifs,"photosynthesis, c4 photosynthesis",c4 photosynthesis genes,,unknown,modification
10069907.pdf,10.1093/plphys/kiad040,arabidopsis thaliana,crispr-cas9 knockout,no abnormal phenotype under standard conditions,,,"gene expression, plant transformation",mfdx-like,,crispr/cas9,knockdown/out
